ID,Name,Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Preferred,Rating,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
20801,Cristiano Ronaldo,89,32,63,89,95,63,93,95,0,81,91,94,0,0,0,0,0,0,88,0,95,0,92,0,85,ST,94,96,83,94,0,91,92,0,80,85,88
176580,L. Suárez,88,30,78,86,92,60,91,83,0,86,86,94,0,0,0,0,0,0,77,0,69,0,86,0,85,ST,92,93,83,87,0,77,89,0,80,84,88
188545,R. Lewandowski,79,28,80,78,91,80,89,87,0,77,85,91,0,0,0,0,0,0,85,0,84,0,83,0,81,ST,91,91,83,88,0,83,79,0,84,78,87
167664,G. Higuaín,78,29,50,75,92,69,85,86,0,74,84,91,0,0,0,0,0,0,86,0,79,0,82,0,70,ST,90,88,75,88,0,80,72,0,85,70,88
153079,S. Agüero,90,29,63,86,91,91,89,90,0,82,89,90,0,0,0,0,0,0,68,0,80,0,83,0,83,ST,89,89,79,88,0,84,74,0,74,83,85
211110,P. Dybala,88,23,48,91,84,85,93,84,0,88,92,85,0,0,0,0,0,0,68,0,75,0,88,0,86,ST,88,84,83,82,0,84,83,0,65,84,88
188567,P. Aubameyang,95,28,43,77,89,70,82,84,0,78,82,88,0,0,0,0,0,0,79,0,77,0,79,0,79,ST,88,87,77,81,0,96,79,0,77,77,86
41236,Z. Ibrahimović,63,35,84,81,86,41,88,91,0,82,82,87,0,0,0,0,0,0,80,0,69,0,85,0,91,ST,88,86,84,91,0,67,71,0,88,83,90
179813,E. Cavani,75,30,84,81,92,59,80,83,0,75,80,83,0,0,0,0,0,0,88,0,88,0,78,0,84,ST,87,91,78,85,0,78,92,0,74,77,84
202126,H. Kane,68,23,74,73,89,62,82,84,0,71,78,90,0,0,0,0,0,0,83,0,70,0,84,0,84,ST,86,87,75,87,0,74,85,0,86,75,73
192505,R. Lukaku,76,24,72,62,87,47,75,84,0,72,77,89,0,0,0,0,0,0,87,0,71,0,75,0,82,ST,86,85,71,88,0,89,80,0,93,73,76
189596,T. Müller,76,27,57,76,93,72,82,83,0,81,75,87,0,0,0,0,0,0,82,0,81,0,77,0,60,ST,86,92,81,77,0,78,90,0,67,81,83
179844,Diego Costa,74,28,93,58,88,52,83,84,0,62,77,88,0,0,0,0,0,0,83,0,64,0,73,0,76,ST,86,86,67,84,0,75,83,0,91,74,81
175943,D. Mertens,93,30,59,94,85,92,88,81,0,81,89,85,0,0,0,0,0,0,35,0,60,0,81,0,78,ST,86,85,81,80,0,87,75,0,42,82,70
165153,K. Benzema,77,29,65,77,87,60,86,82,0,79,82,87,0,0,0,0,0,0,78,0,70,0,77,0,82,ST,86,83,86,83,0,78,73,0,78,85,79
193301,A. Lacazette,84,26,70,87,87,84,84,86,0,74,85,87,0,0,0,0,0,0,72,0,76,0,76,0,84,ST,85,85,79,81,0,87,80,0,79,74,82
201399,M. Icardi,75,24,55,74,89,76,77,82,0,58,74,89,0,0,0,0,0,0,84,0,92,0,70,0,78,ST,84,83,73,81,0,80,70,0,74,64,81
201153,Morata,78,24,54,62,83,56,84,79,0,76,83,82,0,0,0,0,0,0,79,0,79,0,78,0,72,ST,84,81,78,80,0,86,70,0,82,76,81
180930,E. Džeko,67,31,51,57,89,36,80,79,0,65,76,87,0,0,0,0,0,0,84,0,66,0,73,0,67,ST,84,83,77,86,0,61,70,0,82,70,77
167397,Falcao,73,31,75,85,85,75,82,87,0,83,74,87,0,0,0,0,0,0,90,0,92,0,80,0,84,ST,84,82,78,79,0,66,68,0,75,68,84
143076,A. Gómez,94,29,56,92,81,94,87,84,0,78,89,78,0,0,0,0,0,0,36,0,70,0,78,0,71,ST,84,83,82,76,0,86,78,0,48,85,72
106231,Aduriz,69,36,82,53,86,57,80,87,0,61,79,85,0,0,0,0,0,0,94,0,94,0,80,0,75,ST,84,85,71,83,0,70,64,0,83,73,84
189358,S. Kagawa,76,28,30,92,80,88,85,81,0,74,87,76,0,0,0,0,0,0,42,0,66,0,55,0,78,CF,83,81,84,56,0,65,80,0,39,82,75
176769,Jonas,66,33,61,77,86,69,88,87,0,85,84,87,0,0,0,0,0,0,79,0,69,0,84,0,84,CF,83,85,74,83,0,65,71,0,63,83,85
161956,Borja Valero,73,32,52,80,76,82,88,80,0,78,86,67,0,0,0,0,0,0,60,0,67,0,70,0,72,CF,83,84,89,72,0,67,74,0,66,86,70
231747,K. Mbappé,89,18,62,78,79,76,87,80,0,75,86,87,0,0,0,0,0,0,76,0,71,0,68,0,70,ST,83,79,78,79,0,90,83,0,74,77,74
208596,A. Belotti,80,23,83,79,85,75,78,78,0,64,78,88,0,0,0,0,0,0,84,0,83,0,67,0,77,ST,83,78,68,81,0,83,84,0,85,61,80
189068,B. Dost,54,28,72,38,88,35,73,78,0,62,64,87,0,0,0,0,0,0,93,0,55,0,74,0,81,ST,83,85,74,83,0,64,84,0,89,68,85
184431,S. Giovinco,88,30,75,92,84,93,87,88,0,86,86,83,0,0,0,0,0,0,34,0,34,0,81,0,77,ST,83,82,79,79,0,81,77,0,42,82,75
176600,K. Gameiro,88,30,66,82,86,77,80,85,0,76,76,86,0,0,0,0,0,0,67,0,84,0,76,0,85,ST,83,85,79,84,0,86,76,0,64,76,78
207471,F. Vázquez,62,28,80,71,74,48,89,85,0,82,88,77,0,0,0,0,0,0,68,0,49,0,83,0,67,CF,82,81,83,74,0,66,72,0,78,84,79
217699,I. Slimani,66,29,86,64,85,55,75,79,0,73,74,80,0,0,0,0,0,0,91,0,87,0,71,0,74,ST,82,84,73,78,0,72,87,0,85,72,79
216594,N. Fekir,79,23,69,84,79,91,86,85,0,80,86,78,0,0,0,0,0,0,49,0,69,0,81,0,72,ST,82,76,80,84,0,80,67,0,77,78,74
215785,K. Baldé Diao,93,22,54,82,78,77,89,79,0,70,87,79,0,0,0,0,0,0,58,0,66,0,74,0,58,ST,82,76,76,78,0,92,73,0,76,73,68
212188,T. Werner,92,21,63,79,85,76,82,70,0,62,81,86,0,0,0,0,0,0,74,0,77,0,67,0,68,ST,82,84,76,74,0,91,78,0,59,57,81
211300,A. Martial,92,21,59,85,80,82,84,79,0,81,88,81,0,0,0,0,0,0,70,0,80,0,70,0,81,ST,82,81,75,84,0,89,79,0,76,72,74
207664,C. Bacca,76,30,62,76,87,77,81,80,0,72,79,87,0,0,0,0,0,0,76,0,77,0,60,0,80,ST,82,80,72,76,0,78,67,0,74,66,80
200104,H. Son,87,24,60,79,83,77,82,78,0,81,85,83,0,0,0,0,0,0,65,0,65,0,86,0,71,ST,82,81,78,83,0,86,80,0,62,78,73
195093,Willian José,65,25,65,60,85,50,80,73,0,68,79,84,0,0,0,0,0,0,84,0,72,0,76,0,80,ST,82,81,79,83,0,68,67,0,87,63,80
192387,C. Immobile,77,27,77,77,86,63,79,81,0,70,77,86,0,0,0,0,0,0,75,0,77,0,76,0,76,ST,82,85,70,86,0,85,71,0,74,62,81
186627,M. Balotelli,77,26,70,70,76,50,85,79,0,78,81,84,0,0,0,0,0,0,66,0,75,0,74,0,92,ST,82,68,75,88,0,82,66,0,85,70,74
178509,O. Giroud,51,30,76,59,83,52,82,78,0,70,72,83,0,0,0,0,0,0,90,0,82,0,74,0,81,ST,82,82,77,85,0,55,74,0,90,75,82
178224,J. Hernández,84,29,59,81,87,83,79,81,0,67,76,87,0,0,0,0,0,0,82,0,82,0,69,0,76,ST,82,83,70,76,0,75,68,0,53,72,79
171833,D. Sturridge,74,27,60,75,84,64,81,81,0,62,80,83,0,0,0,0,0,0,73,0,72,0,80,0,75,ST,82,82,74,83,0,78,68,0,71,74,75
169416,C. Vela,87,28,57,86,81,79,81,79,0,80,82,81,0,0,0,0,0,0,64,0,69,0,80,0,72,ST,82,77,81,73,0,81,68,0,68,80,84
150418,M. Gómez,68,31,72,63,84,53,75,85,0,68,74,84,0,0,0,0,0,0,83,0,76,0,78,0,74,ST,82,81,69,82,0,75,69,0,86,62,78
144622,Raffael,77,32,66,84,82,83,87,79,0,80,87,81,0,0,0,0,0,0,63,0,71,0,78,0,72,ST,82,84,84,77,0,68,74,0,63,83,75
113422,David Villa,72,35,67,75,86,75,85,83,0,83,83,86,0,0,0,0,0,0,67,0,67,0,79,0,88,ST,82,83,76,81,0,67,76,0,66,75,79
183900,D. Perotti,84,28,51,80,78,79,87,81,0,72,86,66,0,0,0,0,0,0,57,0,64,0,75,0,90,CF,81,80,82,73,0,78,75,0,54,84,60
230666,Gabriel Jesus,89,20,56,93,83,92,85,84,0,76,87,83,0,0,0,0,0,0,66,0,75,0,73,0,78,ST,81,82,75,78,0,85,84,0,63,75,67
208830,J. Vardy,91,30,92,78,84,77,76,79,0,59,76,83,0,0,0,0,0,0,64,0,74,0,67,0,76,ST,81,86,66,85,0,91,88,0,68,72,73
202685,S. Zaza,79,26,85,77,83,69,80,68,0,68,76,82,0,0,0,0,0,0,81,0,89,0,70,0,80,ST,81,78,65,83,0,79,76,0,86,66,84
199451,W. Ben Yedder,84,26,55,91,83,86,83,82,0,80,85,84,0,0,0,0,0,0,74,0,85,0,69,0,74,ST,81,80,77,78,0,83,76,0,57,76,76
199354,Lucas Pérez,80,28,67,74,80,75,82,76,0,83,81,83,0,0,0,0,0,0,68,0,65,0,82,0,79,ST,81,81,77,83,0,81,73,0,73,76,78
185431,N. Kalinić,69,29,70,69,90,58,79,78,0,64,74,85,0,0,0,0,0,0,80,0,68,0,68,0,70,ST,81,85,72,78,0,77,79,0,78,66,80
184111,C. Benteke,70,26,63,69,76,48,80,78,0,60,73,79,0,0,0,0,0,0,87,0,82,0,74,0,77,ST,81,72,72,85,0,76,74,0,90,73,73
183483,K. Mitroglou,53,29,83,50,83,34,78,80,0,72,75,82,0,0,0,0,0,0,85,0,79,0,78,0,61,ST,81,79,66,85,0,62,71,0,90,66,80
161648,H. Ben Arfa,79,30,61,85,74,79,83,78,0,80,89,75,0,0,0,0,0,0,53,0,76,0,77,0,87,ST,81,75,78,80,0,73,67,0,72,78,74
153244,A. Gignac,74,31,80,66,81,59,73,80,0,77,75,86,0,0,0,0,0,0,78,0,70,0,80,0,78,ST,81,76,72,84,0,71,72,0,89,72,80
54050,W. Rooney,67,31,81,71,79,77,80,88,0,84,73,80,0,0,0,0,0,0,75,0,76,0,79,0,83,ST,81,83,81,86,0,68,78,0,83,80,83
49369,Fernando Torres,74,33,62,74,82,54,81,69,0,80,82,77,0,0,0,0,0,0,77,0,75,0,73,0,74,ST,81,73,79,83,0,77,61,0,76,76,81
9676,S. Eto'o,73,36,75,78,83,74,78,84,0,78,80,85,0,0,0,0,0,0,75,0,89,0,75,0,85,ST,81,77,76,85,0,75,65,0,70,75,80
187735,A. Dzagoev,81,27,69,71,76,72,82,80,0,75,78,73,0,0,0,0,0,0,67,0,74,0,75,0,65,CF,80,80,79,79,0,73,77,0,66,81,73
176733,M. Berg,74,30,61,71,83,71,77,75,0,66,72,82,0,0,0,0,0,0,77,0,74,0,74,0,70,CF,80,75,72,79,0,75,69,0,76,66,74
176376,I. Piatti,79,32,80,87,83,81,85,83,0,82,85,81,0,0,0,0,0,0,34,0,32,0,80,0,79,CF,80,82,76,81,0,76,86,0,70,73,77
138449,Kaká,63,35,45,68,77,64,83,85,0,84,79,74,0,0,0,0,0,0,52,0,53,0,76,0,84,CF,80,76,81,76,0,61,44,0,70,84,84
204529,M. Batshuayi,77,23,61,78,83,78,77,81,0,61,76,83,0,0,0,0,0,0,73,0,81,0,76,0,67,ST,80,79,64,83,0,80,65,0,82,63,74
203280,V. Germain,78,27,65,91,86,77,80,78,0,76,76,82,0,0,0,0,0,0,79,0,81,0,77,0,77,ST,80,79,78,79,0,78,82,0,61,78,79
199110,L. Muriel,87,26,50,86,78,77,85,70,0,77,86,80,0,0,0,0,0,0,65,0,62,0,65,0,74,ST,80,76,74,82,0,90,75,0,80,73,75
194879,Sergi Enrich,63,27,66,68,87,66,80,67,0,55,74,83,0,0,0,0,0,0,80,0,77,0,67,0,63,ST,80,82,76,74,0,68,83,0,83,72,79
189250,S. Rondón,73,27,74,69,82,48,78,76,0,53,75,77,0,0,0,0,0,0,88,0,71,0,70,0,62,ST,80,73,69,85,0,76,68,0,89,53,73
187491,F. Smolov,89,27,67,75,83,66,78,73,0,78,77,82,0,0,0,0,0,0,70,0,67,0,74,0,74,ST,80,74,77,80,0,85,74,0,75,75,79
186146,D. Welbeck,83,26,75,82,80,63,78,76,0,61,80,75,0,0,0,0,0,0,75,0,80,0,69,0,70,ST,80,78,76,77,0,84,81,0,78,72,76
164859,T. Walcott,92,28,65,83,80,79,78,78,0,76,81,77,0,0,0,0,0,0,58,0,66,0,69,0,74,ST,80,77,74,76,0,91,73,0,62,72,72
162369,V. Ibišević,53,32,83,65,86,59,76,79,0,73,72,85,0,0,0,0,0,0,83,0,72,0,66,0,81,ST,80,84,78,81,0,53,64,0,79,73,84
158232,S. Kalou,69,31,35,77,83,78,85,79,0,72,87,83,0,0,0,0,0,0,76,0,76,0,67,0,86,ST,80,82,78,76,0,67,67,0,68,75,78
50542,J. Defoe,77,34,63,83,87,88,77,84,0,63,78,87,0,0,0,0,0,0,66,0,75,0,80,0,74,ST,80,81,68,88,0,72,72,0,61,67,82
192565,Y. Mallı,78,25,48,83,76,81,82,81,0,75,82,75,0,0,0,0,0,0,40,0,63,0,68,0,81,CF,79,74,80,64,0,75,81,0,52,80,69
188428,S. Doumbia,90,29,62,70,77,70,77,80,0,79,79,77,0,0,0,0,0,0,74,0,83,0,75,0,80,CF,79,80,73,79,0,91,78,0,73,74,77
227476,Soares,82,26,90,74,83,77,77,79,0,69,74,80,0,0,0,0,0,0,77,0,78,0,66,0,68,ST,79,81,66,77,0,87,86,0,83,58,73
225018,F. Andone,79,24,83,78,84,69,76,86,0,58,73,79,0,0,0,0,0,0,76,0,79,0,74,0,74,ST,79,84,64,79,0,78,87,0,75,67,77
207948,B. Traoré,85,21,57,86,76,72,86,75,0,76,85,68,0,0,0,0,0,0,59,0,75,0,67,0,66,ST,79,80,73,73,0,90,73,0,64,73,75
207441,L. Vietto,76,23,66,78,83,88,85,71,0,83,86,82,0,0,0,0,0,0,69,0,74,0,75,0,69,ST,79,82,79,70,0,75,67,0,57,73,81
205175,A. Milik,70,23,67,68,79,63,76,72,0,71,71,86,0,0,0,0,0,0,75,0,62,0,80,0,79,ST,79,75,63,83,0,75,75,0,71,60,76
203757,Zé Luís,80,26,76,64,78,61,81,72,0,66,80,75,0,0,0,0,0,0,84,0,92,0,64,0,75,ST,79,80,63,79,0,81,68,0,83,75,75
200454,Paco Alcácer,72,23,59,76,87,78,79,69,0,66,72,81,0,0,0,0,0,0,77,0,75,0,68,0,71,ST,79,86,72,80,0,73,64,0,63,63,82
199852,N. Jørgensen,76,26,60,65,79,64,80,83,0,69,78,79,0,0,0,0,0,0,72,0,74,0,77,0,72,ST,79,75,75,80,0,78,84,0,81,76,74
198683,M. Gabbiadini,74,25,57,73,78,56,82,71,0,78,80,82,0,0,0,0,0,0,71,0,76,0,81,0,72,ST,79,75,72,84,0,74,69,0,75,72,72
189963,W. Bony,63,28,68,67,83,71,75,77,0,66,72,80,0,0,0,0,0,0,82,0,83,0,76,0,77,ST,79,72,68,83,0,68,73,0,90,65,76
189169,Jonathas,72,28,79,59,81,53,78,75,0,40,72,80,0,0,0,0,0,0,78,0,75,0,73,0,73,ST,79,74,63,85,0,77,66,0,87,65,74
188955,G. Bou,76,27,52,74,79,76,79,78,0,66,79,80,0,0,0,0,0,0,74,0,77,0,73,0,71,ST,79,77,71,80,0,76,82,0,76,71,74
184069,S. Wagner,53,29,88,53,83,50,74,72,0,55,65,83,0,0,0,0,0,0,88,0,61,0,72,0,64,ST,79,79,54,85,0,65,68,0,90,47,75
176993,Bojan,78,26,30,84,77,85,78,74,0,83,77,70,0,0,0,0,0,0,42,0,48,0,70,0,71,ST,79,72,81,76,0,75,67,0,43,81,79
170369,G. dos Santos,87,28,53,88,75,90,83,76,0,73,79,78,0,0,0,0,0,0,61,0,66,0,78,0,70,ST,79,76,75,80,0,86,66,0,45,70,77
168320,A. Gyan,77,31,62,72,80,68,82,77,0,54,72,81,0,0,0,0,0,0,73,0,73,0,72,0,70,ST,79,77,76,80,0,77,75,0,79,80,80
159145,B. Gomis,66,31,52,59,79,58,78,82,0,61,72,80,0,0,0,0,0,0,81,0,73,0,75,0,83,ST,79,76,73,84,0,68,65,0,82,69,79
146439,Negredo,62,31,78,67,79,60,75,69,0,68,71,80,0,0,0,0,0,0,83,0,81,0,77,0,80,ST,79,75,73,85,0,63,63,0,87,66,80
197225,N. Lodeiro,73,28,66,78,77,79,82,79,0,81,78,65,0,0,0,0,0,0,42,0,66,0,76,0,76,CF,78,79,79,71,0,69,88,0,61,80,70
174549,M. Fernández,79,31,50,79,74,81,87,74,0,80,89,62,0,0,0,0,0,0,50,0,66,0,78,0,72,CF,78,74,80,80,0,73,69,0,57,78,70
228941,André Silva,75,21,76,77,83,72,78,70,0,69,77,75,0,0,0,0,0,0,77,0,84,0,66,0,80,ST,78,79,67,76,0,85,85,0,74,66,74
223627,O. Al Soma,74,28,67,69,77,69,76,71,0,69,71,80,0,0,0,0,0,0,77,0,63,0,76,0,74,ST,78,79,69,84,0,73,82,0,84,70,67
219932,A. Sanabria,79,21,32,81,80,75,83,76,0,73,82,80,0,0,0,0,0,0,69,0,75,0,65,0,69,ST,78,74,71,75,0,81,70,0,76,72,67
216547,Rafa,91,24,40,91,78,85,80,77,0,75,83,65,0,0,0,0,0,0,46,0,58,0,64,0,59,ST,78,79,74,71,0,92,64,0,37,75,64
215333,D. Zapata,69,26,58,64,78,58,76,73,0,46,72,81,0,0,0,0,0,0,78,0,79,0,64,0,64,ST,78,74,64,86,0,76,69,0,90,47,76
215061,D. Benedetto,78,27,64,76,81,66,73,74,0,67,74,80,0,0,0,0,0,0,75,0,88,0,80,0,68,ST,78,75,67,82,0,84,77,0,72,69,71
213582,A. Ruiz,61,23,48,72,71,72,85,83,0,75,86,77,0,0,0,0,0,0,63,0,55,0,86,0,69,ST,78,75,80,88,0,63,74,0,75,83,83
