Name,ID,Rating,Preferred,Age,Acceleration,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
Cristiano Ronaldo,20801,94,ST,33,89,63,87,95,70,94,95,0,81,88,94,0,0,0,0,0,0,89,0,95,0,93,0,85,96,81,95,0,91,88,0,79,82,87
L. Suárez,176580,91,ST,31,86,87,82,92,83,90,85,0,86,87,93,0,0,0,0,0,0,77,0,69,0,85,0,85,92,82,86,0,75,90,0,83,84,88
R. Lewandowski,188545,90,ST,29,77,80,78,91,78,89,86,0,77,85,91,0,0,0,0,0,0,85,0,84,0,84,0,88,90,83,88,0,78,78,0,84,77,89
H. Kane,202126,89,ST,24,68,76,71,93,71,84,89,0,78,80,94,0,0,0,0,0,0,85,0,78,0,85,0,90,91,80,88,0,72,89,0,84,80,84
E. Cavani,179813,89,ST,31,75,84,77,93,59,82,82,0,77,80,89,0,0,0,0,0,0,89,0,88,0,79,0,85,91,78,87,0,76,92,0,78,77,90
S. Agüero,153079,89,ST,30,88,65,86,92,91,89,90,0,82,89,93,0,0,0,0,0,0,77,0,81,0,83,0,83,90,81,88,0,80,76,0,73,83,85
G. Bale,173731,88,ST,28,94,65,82,85,65,85,86,0,90,87,86,0,0,0,0,0,0,84,0,87,0,91,0,76,85,85,92,0,95,75,0,80,79,85
G. Higuaín,167664,88,ST,30,73,50,75,92,69,85,86,0,74,84,92,0,0,0,0,0,0,80,0,79,0,80,0,70,86,75,86,0,73,70,0,85,74,90
M. Icardi,201399,87,ST,25,77,56,76,92,76,81,85,0,58,77,91,0,0,0,0,0,0,91,0,94,0,70,0,82,88,73,84,0,78,72,0,76,64,85
R. Lukaku,192505,87,ST,25,77,75,60,89,46,72,83,0,74,80,87,0,0,0,0,0,0,86,0,71,0,74,0,78,86,77,88,0,90,84,0,94,76,79
