,Rating,Preferred,Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
0,94,LW,91,32,63,90,94,63,93,86,84,81,92,93,76,7,11,15,14,11,85,29,95,77,90,22,85,96,83,92,23,92,92,31,80,85,88
1,93,RW,92,29,48,90,93,95,95,94,77,89,97,95,90,6,11,15,14,8,71,22,68,87,88,13,74,95,88,85,26,87,74,28,59,90,85
2,92,LW,93,25,56,96,90,82,95,80,75,79,96,89,84,9,9,15,15,11,62,36,61,75,77,21,81,88,81,78,33,90,79,24,49,80,83
3,92,ST,88,30,78,86,92,60,91,83,77,86,86,94,84,27,25,31,33,37,77,41,69,64,86,30,85,93,83,87,38,77,89,45,76,84,88
4,92,GK,58,31,29,52,12,35,48,70,15,14,30,13,11,89,90,95,91,89,25,30,78,59,16,10,47,85,55,25,11,61,44,10,83,70,11
5,90,GK,56,26,38,57,12,43,31,60,17,21,13,13,19,88,85,87,86,90,21,30,67,32,12,13,40,88,31,31,13,56,25,21,64,68,13
6,90,ST,79,28,80,78,89,79,87,87,62,77,85,91,76,15,6,12,8,10,85,39,84,65,82,25,81,88,83,86,19,82,79,42,84,78,86
7,90,RW,93,27,65,77,86,65,88,85,87,86,89,87,85,15,15,11,5,6,86,59,85,80,90,51,76,87,86,91,52,95,78,55,80,79,76
8,90,ST,69,35,84,86,86,41,90,91,76,82,87,90,82,13,15,10,9,12,80,20,72,76,88,15,91,85,84,93,27,74,75,41,93,83,93
9,89,GK,46,24,23,61,13,45,23,52,14,19,13,14,11,84,91,69,86,89,13,15,68,31,17,11,27,81,32,36,16,52,38,18,70,44,12
10,89,CB,74,28,82,58,47,54,72,86,69,56,67,34,31,7,12,15,6,5,86,84,75,80,58,90,46,84,75,79,91,81,75,92,91,76,53
11,89,LW,93,26,54,92,85,90,91,86,80,82,93,81,79,11,12,6,8,8,57,41,59,80,82,25,86,85,84,79,22,87,77,27,65,86,79
12,89,CM,77,31,62,93,79,94,92,76,78,79,86,71,77,13,9,7,14,9,55,76,67,83,82,66,80,88,92,73,73,71,83,80,58,90,74
13,89,CAM,77,28,48,84,84,70,90,73,82,84,86,75,79,6,14,10,6,14,54,24,52,84,76,22,67,87,89,70,19,68,68,16,56,93,77
14,89,ST,79,29,50,75,92,69,85,84,68,74,84,92,62,5,12,7,5,10,80,20,77,59,80,12,70,86,73,86,18,81,73,22,85,70,88
15,89,CB,72,32,77,75,59,68,80,80,60,61,68,38,73,9,12,5,9,10,82,91,93,81,71,90,71,84,79,78,89,76,74,91,81,74,63
16,89,CB,77,31,84,80,52,60,83,76,66,73,61,60,67,11,8,9,7,11,90,88,92,70,55,85,68,82,76,79,90,78,84,89,81,63,66
17,89,ST,92,28,57,86,91,90,89,90,70,82,89,90,72,13,15,6,11,14,68,24,80,63,84,13,80,88,79,87,12,86,74,20,73,83,85
18,88,CM,75,24,72,79,84,61,90,83,78,82,89,71,82,5,6,2,4,3,73,70,85,87,88,68,76,86,85,90,76,79,91,75,91,86,84
19,88,ST,87,26,69,90,91,80,86,81,82,84,87,88,75,14,8,14,13,14,80,35,87,75,82,23,71,90,79,81,11,86,75,22,61,76,87
20,88,CAM,76,25,68,78,84,75,86,84,90,81,85,83,84,15,13,5,10,13,53,52,65,82,86,30,77,88,89,85,40,78,85,39,73,88,82
21,88,LM,89,27,49,87,87,82,85,82,83,90,86,84,84,12,12,13,13,11,51,50,72,79,85,30,84,87,86,87,46,91,73,36,67,86,88
22,88,ST,88,28,80,90,86,87,86,82,80,78,89,85,78,10,10,15,12,13,70,42,85,73,81,30,77,87,80,84,35,84,85,39,72,82,83
23,88,CM,55,27,60,70,76,62,85,85,85,85,78,75,84,10,11,13,7,10,54,77,34,93,88,63,73,85,89,87,65,37,78,75,74,88,82
24,88,CB,62,31,86,63,48,58,76,80,55,49,53,42,51,6,8,15,5,15,92,88,89,70,43,87,50,85,79,67,89,67,69,86,80,52,47
