,Rating,Preferred,Acceleration,Age,Aggression,Agility,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Attacking_Position,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
0,94,RF,91.0,31,48.0,91.0,95.0,96.0,96.0,84.0,93.0,97.0,95.0,94.0,6.0,11.0,15.0,14.0,8.0,70.0,22.0,68.0,87.0,94.0,33.0,75.0,94.0,95.0,90.0,85.0,26.0,86.0,72.0,28.0,59.0,94.0,86.0
1,94,ST,89.0,33,63.0,87.0,70.0,94.0,95.0,84.0,81.0,88.0,94.0,76.0,7.0,11.0,15.0,14.0,11.0,89.0,29.0,95.0,77.0,93.0,28.0,85.0,95.0,96.0,81.0,95.0,23.0,91.0,88.0,31.0,79.0,82.0,87.0
2,92,LW,94.0,26,56.0,96.0,84.0,95.0,94.0,79.0,88.0,96.0,87.0,87.0,9.0,9.0,15.0,15.0,11.0,62.0,36.0,61.0,78.0,82.0,27.0,81.0,89.0,94.0,84.0,80.0,33.0,90.0,81.0,24.0,49.0,87.0,84.0
3,91,GK,57.0,27,38.0,60.0,43.0,42.0,68.0,17.0,21.0,18.0,13.0,19.0,90.0,85.0,87.0,88.0,94.0,21.0,30.0,67.0,51.0,12.0,15.0,40.0,12.0,90.0,50.0,31.0,13.0,58.0,43.0,21.0,64.0,68.0,13.0
4,91,RCM,78.0,27,76.0,79.0,77.0,91.0,88.0,93.0,85.0,86.0,82.0,83.0,15.0,13.0,5.0,10.0,13.0,55.0,61.0,63.0,91.0,91.0,68.0,79.0,87.0,91.0,92.0,91.0,51.0,76.0,90.0,58.0,75.0,94.0,82.0
5,91,LF,94.0,27,54.0,95.0,94.0,94.0,91.0,81.0,83.0,95.0,84.0,79.0,11.0,12.0,6.0,8.0,8.0,61.0,41.0,56.0,83.0,80.0,34.0,86.0,87.0,90.0,89.0,82.0,22.0,88.0,83.0,27.0,66.0,89.0,80.0
6,91,RCM,80.0,32,62.0,93.0,94.0,93.0,84.0,86.0,85.0,90.0,72.0,78.0,13.0,9.0,7.0,14.0,9.0,55.0,83.0,68.0,88.0,82.0,60.0,82.0,79.0,90.0,93.0,79.0,73.0,72.0,89.0,76.0,58.0,92.0,76.0
7,91,RS,86.0,31,87.0,82.0,83.0,90.0,85.0,77.0,86.0,87.0,93.0,84.0,27.0,25.0,31.0,33.0,37.0,77.0,41.0,69.0,64.0,85.0,62.0,85.0,92.0,92.0,82.0,86.0,38.0,75.0,90.0,45.0,83.0,84.0,88.0
8,91,RCB,76.0,32,88.0,78.0,66.0,84.0,82.0,66.0,74.0,63.0,60.0,72.0,11.0,8.0,9.0,7.0,11.0,91.0,90.0,93.0,77.0,59.0,87.0,75.0,60.0,85.0,78.0,79.0,91.0,75.0,84.0,92.0,83.0,63.0,66.0
9,90,GK,43.0,25,34.0,67.0,49.0,16.0,70.0,13.0,13.0,12.0,11.0,14.0,86.0,92.0,78.0,88.0,89.0,15.0,19.0,76.0,26.0,12.0,27.0,11.0,11.0,86.0,29.0,22.0,18.0,60.0,41.0,12.0,78.0,70.0,13.0
10,90,ST,77.0,29,80.0,78.0,78.0,89.0,86.0,62.0,77.0,85.0,91.0,86.0,15.0,6.0,12.0,8.0,10.0,85.0,39.0,84.0,65.0,84.0,34.0,88.0,91.0,90.0,83.0,88.0,19.0,78.0,78.0,42.0,84.0,77.0,89.0
