Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Composure,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Penalties,Preferred,Rating,Reactions,Short_Pass,Shot_Power,Sliding_Tackle,Sprint,Stamina,Standing_Tackle,Strength,Vision,Volleys
88,30,78,86,92,60,91,83,0,86,86,94,0,0,0,0,0,0,77,0,69,0,86,0,85,0,92,93,83,87,0,77,89,0,76,84,88
79,28,80,78,89,79,87,87,0,77,85,91,0,0,0,0,0,0,85,0,84,0,82,0,81,0,90,88,83,86,0,82,79,0,84,78,86
69,35,84,86,86,41,90,91,0,82,87,90,0,0,0,0,0,0,80,0,72,0,88,0,91,0,90,85,84,93,0,74,75,0,93,83,93
79,29,50,75,92,69,85,84,0,74,84,92,0,0,0,0,0,0,80,0,77,0,80,0,70,0,89,86,73,86,0,81,73,0,85,70,88
92,28,57,86,91,90,89,90,0,82,89,90,0,0,0,0,0,0,68,0,80,0,84,0,80,0,89,88,79,87,0,86,74,0,73,83,85
87,26,69,90,91,80,86,81,0,84,87,88,0,0,0,0,0,0,80,0,87,0,82,0,71,0,88,90,79,81,0,86,75,0,61,76,87
88,28,80,90,86,87,86,82,0,78,89,85,0,0,0,0,0,0,70,0,85,0,81,0,77,0,88,87,80,84,0,84,85,0,72,82,83
95,27,45,80,89,69,82,79,0,78,82,88,0,0,0,0,0,0,79,0,77,0,79,0,82,0,87,87,77,81,0,96,79,0,77,77,86
76,27,57,77,93,72,82,83,0,81,75,87,0,0,0,0,0,0,82,0,81,0,80,0,60,1,86,92,81,77,0,79,90,0,67,81,83
91,23,48,91,85,85,91,82,0,88,91,88,0,0,0,0,0,0,68,0,75,0,88,0,84,1,86,85,83,82,0,86,81,0,65,82,88
76,28,93,58,88,52,83,84,0,62,79,89,0,0,0,0,0,0,82,0,64,0,72,0,76,0,86,85,67,84,0,78,85,0,91,74,82
76,30,82,82,89,59,80,81,0,75,80,85,0,0,0,0,0,0,88,0,88,0,78,0,84,0,86,85,75,85,0,79,90,0,74,77,84
79,29,65,77,87,60,86,82,0,79,82,87,0,0,0,0,0,0,78,0,70,0,77,0,82,0,86,83,86,83,0,82,74,0,78,85,79
69,23,74,74,86,62,82,83,0,71,77,88,0,0,0,0,0,0,83,0,70,0,80,0,82,0,85,85,75,86,0,77,84,0,84,72,70
84,25,70,87,87,84,84,86,0,74,85,87,0,0,0,0,0,0,76,0,78,0,74,0,84,0,85,85,80,81,0,87,80,0,79,77,82
81,23,72,62,85,48,79,84,0,64,76,87,0,0,0,0,0,0,83,0,71,0,76,0,80,0,85,77,71,88,0,89,80,0,93,70,76
78,24,35,75,89,76,79,76,0,58,75,89,0,0,0,0,0,0,84,0,90,0,70,0,78,0,84,83,73,81,0,80,72,0,76,64,81
69,36,82,53,86,57,80,87,0,61,79,85,0,0,0,0,0,0,94,0,93,0,80,0,77,0,84,85,71,83,0,71,66,0,82,73,84
90,30,73,93,83,93,87,88,0,86,86,81,0,0,0,0,0,0,37,0,53,0,80,0,75,1,83,81,78,78,0,86,75,0,48,85,70
83,30,68,78,87,75,80,80,0,72,80,88,0,0,0,0,0,0,76,0,77,0,70,0,79,0,83,82,72,78,0,83,74,0,76,66,82
79,25,64,82,84,81,83,76,0,80,87,82,0,0,0,0,0,0,73,0,81,0,80,0,72,0,83,81,83,79,0,79,86,0,76,83,78
86,29,63,88,85,77,84,69,0,83,85,84,0,0,0,0,0,0,78,0,68,0,82,0,74,0,83,86,80,79,0,80,72,0,59,68,86
